S,M,L,virus,strain,host,country,region,date,notes,ref,ref2
MN850084,MN850089,MN850094,,AREB14/P2,Homo_sapiens,Argentina,Río_Negro,2014-06-01,date of death,https://doi.org/10.3201/eid2604.190799,
MN850085,MN850090,MN850095,,AREB14/P3,Homo_sapiens,Argentina,El_Bolson,2014-06-16,"symptom onset, HCW for P2",https://doi.org/10.3201/eid2604.190799,
MN850086,MN850091,MN850096,,ARCH14/NRC1,Homo_sapiens,Argentina,Chubut,2014-05-05,date of death,https://doi.org/10.3201/eid2604.190800,
MN850087,MN850092,MN850097,,ARLA17/NRC2,Homo_sapiens,Argentina,Chubut,2017-05-11,symptom onset,https://doi.org/10.3201/eid2604.190800,
MT956618,MT956619,MT956620,,CHI-7913,Homo_sapiens,Chile,,1999,Resequencing?,,
MT956622,MT956623,MT956621,,Chile-9717869,Oligoryzomys_longicaudatus,Chile,,1997,Resequencing?,,
OP555720,OP555725,OP555732,,Andes/ARG_p3,,Argentina,Neuquén,1999,,https://journals.asm.org/doi/10.1128/msphere.00018-23,
OP555721,OP555726,OP555733,,Andes/ARG_p9,,Argentina,Neuquén,1999,,https://journals.asm.org/doi/10.1128/msphere.00018-23,
OP555722,OP555727,OP555734,,Andes/ARG_p19,,Argentina,Neuquén,1999,,https://journals.asm.org/doi/10.1128/msphere.00018-23,
OP555723,OP555729,OP555735,,Andes/ARG-O.l.444,Oligoryzomys_longicaudatus,Argentina,Neuquén,1999,,https://journals.asm.org/doi/10.1128/msphere.00018-23,
OP555728,OP555724,NA,,Andes/ARG-M.a.,Mesocricetus_auratus,Argentina,Neuquén,1999,,https://journals.asm.org/doi/10.1128/msphere.00018-23,
OP555730,OP555731,NA,,Arg-h484,Homo_sapiens,Argentina,Buenos_Aires,2002,,https://journals.asm.org/doi/10.1128/msphere.00018-23,
OQ092245,OQ092244,OQ092243,,VARS/22-01,Homo_sapiens,Brazil,,2022-12-09,,,
OR405520,OR405521,OR405522,,ANDV-CH-LS-2022,Homo_sapiens,Switzerland,,2022,,,
OR405525,OR405524,OR405523,,ANDV-CH-LS-2016,Homo_sapiens,Switzerland,,2016,,,
OR875982,OR965908,PP151165,,BA02_SMM484,Homo_sapiens,Argentina,Buenos_Aires,2002,,,
OR890439,OR890440,NA,Lechiguanas,ARG-OF.53,Oligoryzomys_flavescens,Argentina,,2022,,,
OR908884,OR965909,PP151166,,BA02_VVN481,Homo_sapiens,Argentina,Buenos_Aires,2002,,,
OR908885,OR965910,partial,,BA02_VVD480,Homo_sapiens,Argentina,Buenos_Aires,2002,,,
OR908886,OR987850,PP151168,,BA02_RJF487,Homo_sapiens,Argentina,Buenos_Aires,2002,,,
OR908887,OR965911,PP151167,,BA02_VO483,Homo_sapiens,Argentina,Buenos_Aires,2002,,,
OR908888,OR987851,PP151169,,BA02_AOA490,Homo_sapiens,Argentina,Buenos_Aires,2002,,,
OR908889,OR987852,PP151170,,BA02_ROM495,Homo_sapiens,Argentina,Buenos_Aires,2002,,,
OR908890,OR987853,PP151171,,BA16_LJC1557,Homo_sapiens,Argentina,Buenos_Aires,2016,,,
OR908891,PP003838,NA,,BA17_SD1583,Homo_sapiens,Argentina,Buenos_Aires,2017,,,
OR908892,OR987854,NA,,BA10-GJ1165,Homo_sapiens,Argentina,Buenos_Aires,2010,,,
OR908893,OR987855,NA,,BA10-OE1169,Homo_sapiens,Argentina,Buenos_Aires,2010,,,
OR908894,PP003839,NA,,BA11-MH1249,Homo_sapiens,Argentina,Buenos_Aires,2011,,,
OR908895,NA,NA,,BA11-IM1254,Homo_sapiens,Argentina,Buenos_Aires,2011,,,
OR908896,OR987856,PP151172,,ER19-SP1693,Homo_sapiens,Argentina,Entre Rios,2019,,,
OR908897,PP151163,PP003836,,BA18-RR1620,Homo_sapiens,Argentina,Buenos_Aires,2018,,,
OR908898,PP151164,PP003837,,BA18-LD1633,Homo_sapiens,Argentina,Buenos_Aires,2018,,,
PP058740,,PP058737,,15631_S,Oligoryzomyz flavescens,Argentina,,1998,,,
,PP058741,PP058739,,13796_M,Necromys_sp,Argentina,,1990,,,
NA,NA,PP058738,,807266_L,Calomys_laucha,Paraguay,,1997,,,
PP504847,NA,NA,,BA02_SMM478,Homo_sapiens,Argentina,,2002,,,
PP504848,NA,NA,,URU_1,Homo_sapiens,Uruguay,,1996,,,
PV796316,PV796317,PV796318,,136,Homo_sapiens,Chile,Region de Los Rios,2024-06-27,,,
PV808467,PV808468,PV808469,,137,Homo_sapiens,Chile,Region de los Rios,2024-06-27,,,
PV808470,PV808471,PV808472,,CHI-7913,Homo_sapiens,Chile,,1999,Resequencing?,,
PV808473,PV808474,PV808475,,CHI-Hu13724_P1,Homo_sapiens,Chile,,2024-07-24,,,
PV808476,PV808477,PV808478,,CHI-Hu13724_P2,Homo_sapiens,Chile,,2024-07-30,,,
